intervention_id,asset_id,date,day_index,intervention_type,health_before,health_restored
INTV-700048,AST-TRK-1029,2026-04-19,30,PREVENTIVE_TAMPING_OVERHAUL,88.9,98.0
INTV-700049,AST-TRK-1118,2026-04-19,30,PREVENTIVE_TAMPING_OVERHAUL,88.2,98.0
INTV-700050,AST-SIG-1052,2026-04-20,31,CORRECTIVE_ADJUSTMENT,95.7,98.0
INTV-700051,AST-TRK-1081,2026-04-20,31,PREVENTIVE_TAMPING_OVERHAUL,86.7,98.0
INTV-700052,AST-TRK-1087,2026-04-20,31,PREVENTIVE_TAMPING_OVERHAUL,94.6,98.0
INTV-700053,AST-TRK-1110,2026-04-20,31,PREVENTIVE_TAMPING_OVERHAUL,86.6,98.0
INTV-700054,AST-TRK-1125,2026-04-20,31,PREVENTIVE_TAMPING_OVERHAUL,95.4,98.0
INTV-700055,AST-TRK-1136,2026-04-20,31,PREVENTIVE_TAMPING_OVERHAUL,92.7,98.0
INTV-700056,AST-TRK-1153,2026-04-20,31,PREVENTIVE_TAMPING_OVERHAUL,91.5,98.0
INTV-700057,AST-PNT-1173,2026-04-20,31,CORRECTIVE_ADJUSTMENT,92.6,98.0
INTV-700058,AST-TRK-1031,2026-04-21,32,PREVENTIVE_TAMPING_OVERHAUL,88.4,98.0
INTV-700059,AST-TRK-1036,2026-04-21,32,PREVENTIVE_TAMPING_OVERHAUL,87.1,98.0
INTV-700060,AST-TRK-1058,2026-04-21,32,PREVENTIVE_TAMPING_OVERHAUL,88.9,98.0
INTV-700061,AST-OHE-1086,2026-04-21,32,CORRECTIVE_ADJUSTMENT,88.8,98.0
INTV-700062,AST-TRK-1161,2026-04-21,32,PREVENTIVE_TAMPING_OVERHAUL,91.2,98.0
INTV-700063,AST-TRK-1046,2026-04-22,33,PREVENTIVE_TAMPING_OVERHAUL,95.9,98.0
INTV-700064,AST-TRK-1061,2026-04-22,33,PREVENTIVE_TAMPING_OVERHAUL,93.0,98.0
INTV-700065,AST-TRK-1077,2026-04-22,33,PREVENTIVE_TAMPING_OVERHAUL,87.5,98.0
INTV-700066,AST-TRK-1088,2026-04-22,33,PREVENTIVE_TAMPING_OVERHAUL,86.3,98.0
INTV-700067,AST-TRK-1109,2026-04-22,33,PREVENTIVE_TAMPING_OVERHAUL,87.1,98.0
INTV-700068,AST-PNT-1009,2026-04-23,34,CORRECTIVE_ADJUSTMENT,87.7,98.0
INTV-700069,AST-TRK-1025,2026-04-23,34,PREVENTIVE_TAMPING_OVERHAUL,93.2,98.0
INTV-700070,AST-SIG-1039,2026-04-23,34,CORRECTIVE_ADJUSTMENT,95.2,98.0
INTV-700071,AST-TRK-1071,2026-04-23,34,PREVENTIVE_TAMPING_OVERHAUL,87.2,98.0
INTV-700072,AST-TRK-1134,2026-04-23,34,PREVENTIVE_TAMPING_OVERHAUL,86.9,98.0
INTV-700073,AST-TRK-1168,2026-04-23,34,PREVENTIVE_TAMPING_OVERHAUL,94.1,98.0
INTV-700074,AST-OHE-1024,2026-04-24,35,CORRECTIVE_ADJUSTMENT,92.1,98.0
INTV-700075,AST-OHE-1041,2026-04-24,35,CORRECTIVE_ADJUSTMENT,96.3,98.0
INTV-700076,AST-TRK-1094,2026-04-24,35,PREVENTIVE_TAMPING_OVERHAUL,91.2,98.0
INTV-700077,AST-TRK-1111,2026-04-24,35,PREVENTIVE_TAMPING_OVERHAUL,93.6,98.0
INTV-700078,AST-TRK-1080,2026-04-25,36,PREVENTIVE_TAMPING_OVERHAUL,89.0,98.0
INTV-700079,AST-TRK-1092,2026-04-25,36,PREVENTIVE_TAMPING_OVERHAUL,92.2,98.0
INTV-700080,AST-TRK-1140,2026-04-25,36,PREVENTIVE_TAMPING_OVERHAUL,93.7,98.0
INTV-700081,AST-TRK-1068,2026-04-26,37,PREVENTIVE_TAMPING_OVERHAUL,88.1,98.0
INTV-700082,AST-TRK-1100,2026-04-26,37,PREVENTIVE_TAMPING_OVERHAUL,94.4,98.0
INTV-700083,AST-TRK-1169,2026-04-26,37,PREVENTIVE_TAMPING_OVERHAUL,88.7,98.0
INTV-700084,AST-TRK-1044,2026-04-27,38,PREVENTIVE_TAMPING_OVERHAUL,89.8,98.0
INTV-700085,AST-TRK-1045,2026-04-27,38,PREVENTIVE_TAMPING_OVERHAUL,88.0,98.0
INTV-700086,AST-TRK-1141,2026-04-27,38,PREVENTIVE_TAMPING_OVERHAUL,86.5,98.0
INTV-700087,AST-TRK-1146,2026-04-27,38,PREVENTIVE_TAMPING_OVERHAUL,89.1,98.0
INTV-700088,AST-TRK-1163,2026-04-27,38,PREVENTIVE_TAMPING_OVERHAUL,92.8,98.0
INTV-700089,AST-TRK-1165,2026-04-27,38,PREVENTIVE_TAMPING_OVERHAUL,91.6,98.0
INTV-700090,AST-SIG-1022,2026-04-28,39,CORRECTIVE_ADJUSTMENT,97.0,98.0
INTV-700091,AST-TRK-1120,2026-04-28,39,PREVENTIVE_TAMPING_OVERHAUL,85.7,98.0
INTV-700092,AST-TRK-1133,2026-04-28,39,PREVENTIVE_TAMPING_OVERHAUL,89.2,98.0
INTV-700093,AST-TRK-1166,2026-04-28,39,PREVENTIVE_TAMPING_OVERHAUL,88.2,98.0
INTV-700094,AST-TRK-1033,2026-04-29,40,PREVENTIVE_TAMPING_OVERHAUL,92.7,98.0
INTV-700095,AST-PNT-1073,2026-04-29,40,CORRECTIVE_ADJUSTMENT,87.9,98.0
INTV-700096,AST-SIG-1096,2026-04-29,40,CORRECTIVE_ADJUSTMENT,93.0,98.0
INTV-700097,AST-TRK-1099,2026-04-29,40,PREVENTIVE_TAMPING_OVERHAUL,88.1,98.0
INTV-700098,AST-TRK-1101,2026-04-29,40,PREVENTIVE_TAMPING_OVERHAUL,93.3,98.0
INTV-700099,AST-PNT-1151,2026-04-29,40,CORRECTIVE_ADJUSTMENT,87.0,98.0
INTV-700100,AST-SIG-1026,2026-04-30,41,CORRECTIVE_ADJUSTMENT,91.1,98.0
INTV-700101,AST-TRK-1057,2026-04-30,41,PREVENTIVE_TAMPING_OVERHAUL,87.5,98.0
INTV-700102,AST-TRK-1122,2026-04-30,41,PREVENTIVE_TAMPING_OVERHAUL,88.3,98.0
INTV-700103,AST-TRK-1137,2026-04-30,41,PREVENTIVE_TAMPING_OVERHAUL,92.0,98.0
INTV-700104,AST-TRK-1142,2026-04-30,41,PREVENTIVE_TAMPING_OVERHAUL,91.5,98.0
INTV-700105,AST-TRK-1145,2026-04-30,41,PREVENTIVE_TAMPING_OVERHAUL,85.7,98.0
INTV-700106,AST-TRK-1158,2026-04-30,41,PREVENTIVE_TAMPING_OVERHAUL,87.8,98.0
INTV-700107,AST-PNT-1027,2026-05-01,42,CORRECTIVE_ADJUSTMENT,88.3,98.0
INTV-700108,AST-PNT-1053,2026-05-01,42,CORRECTIVE_ADJUSTMENT,84.1,98.0
INTV-700109,AST-TRK-1090,2026-05-01,42,PREVENTIVE_TAMPING_OVERHAUL,86.0,98.0
INTV-700110,AST-TRK-1115,2026-05-01,42,PREVENTIVE_TAMPING_OVERHAUL,92.9,98.0
INTV-700111,AST-SIG-1128,2026-05-01,42,CORRECTIVE_ADJUSTMENT,94.7,98.0
INTV-700112,AST-SIG-1003,2026-05-02,43,CORRECTIVE_ADJUSTMENT,90.7,98.0
INTV-700113,AST-SIG-1013,2026-05-02,43,CORRECTIVE_ADJUSTMENT,90.9,98.0
INTV-700114,AST-TRK-1034,2026-05-02,43,PREVENTIVE_TAMPING_OVERHAUL,86.8,98.0
INTV-700115,AST-TRK-1055,2026-05-02,43,PREVENTIVE_TAMPING_OVERHAUL,92.2,98.0
INTV-700116,AST-TRK-1059,2026-05-02,43,PREVENTIVE_TAMPING_OVERHAUL,92.3,98.0
INTV-700117,AST-OHE-1064,2026-05-02,43,CORRECTIVE_ADJUSTMENT,94.0,98.0
INTV-700118,AST-OHE-1074,2026-05-02,43,CORRECTIVE_ADJUSTMENT,84.6,98.0
INTV-700119,AST-TRK-1121,2026-05-02,43,PREVENTIVE_TAMPING_OVERHAUL,87.3,98.0
INTV-700120,AST-TRK-1171,2026-05-02,43,PREVENTIVE_TAMPING_OVERHAUL,90.7,98.0
INTV-700121,AST-PNT-1014,2026-05-03,44,CORRECTIVE_ADJUSTMENT,84.1,98.0
INTV-700122,AST-TRK-1030,2026-05-03,44,PREVENTIVE_TAMPING_OVERHAUL,85.8,98.0
INTV-700123,AST-TRK-1079,2026-05-03,44,PREVENTIVE_TAMPING_OVERHAUL,93.5,98.0
INTV-700124,AST-PNT-1113,2026-05-03,44,CORRECTIVE_ADJUSTMENT,86.4,98.0
INTV-700125,AST-TRK-1138,2026-05-03,44,PREVENTIVE_TAMPING_OVERHAUL,86.9,98.0
INTV-700126,AST-TRK-1156,2026-05-03,44,PREVENTIVE_TAMPING_OVERHAUL,86.2,98.0
INTV-700127,AST-TRK-1089,2026-05-04,45,PREVENTIVE_TAMPING_OVERHAUL,89.1,98.0
INTV-700128,AST-TRK-1127,2026-05-04,45,PREVENTIVE_TAMPING_OVERHAUL,91.5,98.0
INTV-700129,AST-TRK-1157,2026-05-04,45,PREVENTIVE_TAMPING_OVERHAUL,88.6,98.0
INTV-700130,AST-TRK-1001,2026-05-05,46,PREVENTIVE_TAMPING_OVERHAUL,90.5,98.0
INTV-700131,AST-TRK-1065,2026-05-05,46,PREVENTIVE_TAMPING_OVERHAUL,87.9,98.0
INTV-700132,AST-TRK-1102,2026-05-05,46,PREVENTIVE_TAMPING_OVERHAUL,91.5,98.0
INTV-700133,AST-TRK-1119,2026-05-05,46,PREVENTIVE_TAMPING_OVERHAUL,92.2,98.0
INTV-700134,AST-TRK-1143,2026-05-05,46,PREVENTIVE_TAMPING_OVERHAUL,91.6,98.0
INTV-700135,AST-TRK-1149,2026-05-05,46,PREVENTIVE_TAMPING_OVERHAUL,87.3,98.0
INTV-700136,AST-TRK-1160,2026-05-05,46,PREVENTIVE_TAMPING_OVERHAUL,91.4,98.0
INTV-700137,AST-OHE-1015,2026-05-06,47,CORRECTIVE_ADJUSTMENT,86.7,98.0
INTV-700138,AST-OHE-1152,2026-05-06,47,CORRECTIVE_ADJUSTMENT,91.3,98.0
INTV-700139,AST-TRK-1108,2026-05-07,48,PREVENTIVE_TAMPING_OVERHAUL,89.0,98.0
INTV-700140,AST-SIG-1112,2026-05-07,48,CORRECTIVE_ADJUSTMENT,90.4,98.0
INTV-700141,AST-TRK-1124,2026-05-07,48,PREVENTIVE_TAMPING_OVERHAUL,89.3,98.0
INTV-700142,AST-TRK-1139,2026-05-07,48,PREVENTIVE_TAMPING_OVERHAUL,87.2,98.0
INTV-700143,AST-TRK-1011,2026-05-08,49,PREVENTIVE_TAMPING_OVERHAUL,91.5,98.0
INTV-700144,AST-PNT-1063,2026-05-08,49,CORRECTIVE_ADJUSTMENT,86.8,98.0
INTV-700145,AST-TRK-1083,2026-05-08,49,PREVENTIVE_TAMPING_OVERHAUL,88.8,98.0
INTV-700146,AST-TRK-1006,2026-05-09,50,PREVENTIVE_TAMPING_OVERHAUL,93.7,98.0
INTV-700147,AST-TRK-1021,2026-05-09,50,PREVENTIVE_TAMPING_OVERHAUL,92.3,98.0
INTV-700148,AST-TRK-1043,2026-05-09,50,PREVENTIVE_TAMPING_OVERHAUL,86.1,98.0
INTV-700149,AST-TRK-1093,2026-05-09,50,PREVENTIVE_TAMPING_OVERHAUL,92.6,98.0
INTV-700150,AST-OHE-1114,2026-05-09,50,CORRECTIVE_ADJUSTMENT,85.5,98.0
INTV-700151,AST-TRK-1148,2026-05-09,50,PREVENTIVE_TAMPING_OVERHAUL,91.0,98.0
INTV-700152,AST-TRK-1050,2026-05-10,51,PREVENTIVE_TAMPING_OVERHAUL,93.0,98.0
INTV-700153,AST-TRK-1076,2026-05-10,51,PREVENTIVE_TAMPING_OVERHAUL,93.1,98.0
INTV-700154,AST-TRK-1103,2026-05-10,51,PREVENTIVE_TAMPING_OVERHAUL,94.3,98.0
INTV-700155,AST-TRK-1135,2026-05-10,51,PREVENTIVE_TAMPING_OVERHAUL,89.1,98.0
INTV-700156,AST-TRK-1002,2026-05-11,52,PREVENTIVE_TAMPING_OVERHAUL,88.3,98.0
INTV-700157,AST-TRK-1049,2026-05-11,52,PREVENTIVE_TAMPING_OVERHAUL,86.1,98.0
INTV-700158,AST-TRK-1070,2026-05-11,52,PREVENTIVE_TAMPING_OVERHAUL,88.8,98.0
INTV-700159,AST-TRK-1123,2026-05-11,52,PREVENTIVE_TAMPING_OVERHAUL,93.1,98.0
INTV-700160,AST-TRK-1126,2026-05-11,52,PREVENTIVE_TAMPING_OVERHAUL,90.0,98.0
INTV-700161,AST-OHE-1020,2026-05-12,53,CORRECTIVE_ADJUSTMENT,93.5,98.0
INTV-700162,AST-OHE-1028,2026-05-12,53,CORRECTIVE_ADJUSTMENT,85.7,98.0
INTV-700163,AST-SIG-1084,2026-05-12,53,CORRECTIVE_ADJUSTMENT,98.7,98.0
INTV-700164,AST-TRK-1107,2026-05-12,53,PREVENTIVE_TAMPING_OVERHAUL,93.4,98.0
INTV-700165,AST-OHE-1130,2026-05-12,53,CORRECTIVE_ADJUSTMENT,93.5,98.0
INTV-700166,AST-TRK-1131,2026-05-13,54,PREVENTIVE_TAMPING_OVERHAUL,89.6,98.0
INTV-700167,AST-TRK-1078,2026-05-14,55,PREVENTIVE_TAMPING_OVERHAUL,87.2,98.0
INTV-700168,AST-TRK-1012,2026-05-15,56,PREVENTIVE_TAMPING_OVERHAUL,87.3,98.0
INTV-700169,AST-TRK-1147,2026-05-15,56,PREVENTIVE_TAMPING_OVERHAUL,87.4,98.0
INTV-700170,AST-SIG-1062,2026-05-17,58,CORRECTIVE_ADJUSTMENT,89.2,98.0
INTV-700171,AST-TRK-1167,2026-05-17,58,PREVENTIVE_TAMPING_OVERHAUL,88.5,98.0
INTV-700172,AST-TRK-1170,2026-05-17,58,PREVENTIVE_TAMPING_OVERHAUL,86.5,98.0
INTV-700173,AST-TRK-1164,2026-05-19,60,PREVENTIVE_TAMPING_OVERHAUL,89.2,98.0
INTV-700174,AST-TRK-1104,2026-05-20,61,PREVENTIVE_TAMPING_OVERHAUL,90.8,98.0
INTV-700175,AST-TRK-1051,2026-06-03,75,PREVENTIVE_TAMPING_OVERHAUL,90.7,98.0
INTV-700176,AST-TRK-1042,2026-06-04,76,PREVENTIVE_TAMPING_OVERHAUL,91.4,98.0
INTV-700177,AST-OHE-1098,2026-06-05,77,CORRECTIVE_ADJUSTMENT,90.0,98.0
INTV-700178,AST-PNT-1004,2026-06-06,78,CORRECTIVE_ADJUSTMENT,89.2,98.0
INTV-700179,AST-PNT-1085,2026-06-07,79,CORRECTIVE_ADJUSTMENT,89.0,98.0
INTV-700180,AST-TRK-1095,2026-06-07,79,PREVENTIVE_TAMPING_OVERHAUL,90.4,98.0
INTV-700181,AST-TRK-1066,2026-06-08,80,PREVENTIVE_TAMPING_OVERHAUL,90.2,98.0
INTV-700182,AST-PNT-1023,2026-06-09,81,CORRECTIVE_ADJUSTMENT,87.5,98.0
INTV-700183,AST-TRK-1117,2026-06-10,82,PREVENTIVE_TAMPING_OVERHAUL,90.4,98.0
INTV-700184,AST-SIG-1172,2026-06-10,82,CORRECTIVE_ADJUSTMENT,94.7,98.0
INTV-700185,AST-OHE-1005,2026-06-11,83,CORRECTIVE_ADJUSTMENT,88.3,98.0
INTV-700186,AST-TRK-1056,2026-06-11,83,PREVENTIVE_TAMPING_OVERHAUL,89.8,98.0
INTV-700187,AST-TRK-1132,2026-06-11,83,PREVENTIVE_TAMPING_OVERHAUL,89.4,98.0
INTV-700188,AST-TRK-1016,2026-06-12,84,PREVENTIVE_TAMPING_OVERHAUL,92.2,98.0
INTV-700189,AST-TRK-1017,2026-06-12,84,PREVENTIVE_TAMPING_OVERHAUL,89.7,98.0
INTV-700190,AST-TRK-1035,2026-06-12,84,PREVENTIVE_TAMPING_OVERHAUL,90.9,98.0
INTV-700191,AST-TRK-1029,2026-06-13,85,PREVENTIVE_TAMPING_OVERHAUL,89.3,98.0
INTV-700192,AST-TRK-1037,2026-06-13,85,PREVENTIVE_TAMPING_OVERHAUL,90.9,98.0
INTV-700193,AST-TRK-1038,2026-06-13,85,PREVENTIVE_TAMPING_OVERHAUL,91.2,98.0
INTV-700194,AST-TRK-1048,2026-06-13,85,PREVENTIVE_TAMPING_OVERHAUL,90.4,98.0
INTV-700195,AST-TRK-1067,2026-06-13,85,PREVENTIVE_TAMPING_OVERHAUL,90.9,98.0
INTV-700196,AST-SIG-1072,2026-06-13,85,CORRECTIVE_ADJUSTMENT,94.7,98.0
INTV-700197,AST-TRK-1082,2026-06-13,85,PREVENTIVE_TAMPING_OVERHAUL,90.7,98.0
INTV-700198,AST-TRK-1155,2026-06-13,85,PREVENTIVE_TAMPING_OVERHAUL,90.7,98.0
INTV-700199,AST-TRK-1047,2026-06-14,86,PREVENTIVE_TAMPING_OVERHAUL,90.6,98.0
INTV-700200,AST-TRK-1116,2026-06-14,86,PREVENTIVE_TAMPING_OVERHAUL,90.6,98.0
INTV-700201,AST-PNT-1040,2026-06-15,87,CORRECTIVE_ADJUSTMENT,88.5,98.0
INTV-700202,AST-TRK-1069,2026-06-15,87,PREVENTIVE_TAMPING_OVERHAUL,91.1,98.0
INTV-700203,AST-TRK-1091,2026-06-15,87,PREVENTIVE_TAMPING_OVERHAUL,90.7,98.0
INTV-700204,AST-TRK-1154,2026-06-15,87,PREVENTIVE_TAMPING_OVERHAUL,89.9,98.0
INTV-700205,AST-TRK-1007,2026-06-16,88,PREVENTIVE_TAMPING_OVERHAUL,91.3,98.0
INTV-700206,AST-TRK-1032,2026-06-16,88,PREVENTIVE_TAMPING_OVERHAUL,91.0,98.0
INTV-700207,AST-TRK-1046,2026-06-16,88,PREVENTIVE_TAMPING_OVERHAUL,91.1,98.0
INTV-700208,AST-TRK-1144,2026-06-16,88,PREVENTIVE_TAMPING_OVERHAUL,88.7,98.0
INTV-700209,AST-SIG-1018,2026-06-17,89,CORRECTIVE_ADJUSTMENT,91.6,98.0
INTV-700210,AST-PNT-1019,2026-06-17,89,CORRECTIVE_ADJUSTMENT,87.5,98.0
INTV-700211,AST-SIG-1052,2026-06-17,89,CORRECTIVE_ADJUSTMENT,94.8,98.0
INTV-700212,AST-OHE-1054,2026-06-17,89,CORRECTIVE_ADJUSTMENT,90.9,98.0
INTV-700213,AST-TRK-1061,2026-06-17,89,PREVENTIVE_TAMPING_OVERHAUL,90.9,98.0
INTV-700214,AST-TRK-1075,2026-06-17,89,PREVENTIVE_TAMPING_OVERHAUL,88.4,98.0
INTV-700215,AST-TRK-1077,2026-06-17,89,PREVENTIVE_TAMPING_OVERHAUL,88.8,98.0
INTV-700216,AST-TRK-1081,2026-06-17,89,PREVENTIVE_TAMPING_OVERHAUL,89.2,98.0
INTV-700217,AST-PNT-1129,2026-06-17,89,CORRECTIVE_ADJUSTMENT,86.2,98.0
INTV-700218,AST-TRK-1159,2026-06-17,89,PREVENTIVE_TAMPING_OVERHAUL,89.0,98.0
INTV-700219,AST-TRK-1031,2026-06-18,90,PREVENTIVE_TAMPING_OVERHAUL,90.7,98.0
INTV-700220,AST-TRK-1060,2026-06-18,90,PREVENTIVE_TAMPING_OVERHAUL,90.5,98.0
INTV-700221,AST-PNT-1097,2026-06-18,90,CORRECTIVE_ADJUSTMENT,89.8,98.0
INTV-700222,AST-TRK-1105,2026-06-18,90,PREVENTIVE_TAMPING_OVERHAUL,90.9,98.0
INTV-700223,AST-OHE-1174,2026-06-18,90,CORRECTIVE_ADJUSTMENT,90.6,98.0
INTV-700224,AST-SIG-1008,2026-06-19,91,CORRECTIVE_ADJUSTMENT,93.7,98.0
INTV-700225,AST-OHE-1010,2026-06-19,91,CORRECTIVE_ADJUSTMENT,90.6,98.0
INTV-700226,AST-TRK-1118,2026-06-19,91,PREVENTIVE_TAMPING_OVERHAUL,89.6,98.0
INTV-700227,AST-TRK-1125,2026-06-19,91,PREVENTIVE_TAMPING_OVERHAUL,90.6,98.0
INTV-700228,AST-TRK-1134,2026-06-19,91,PREVENTIVE_TAMPING_OVERHAUL,88.5,98.0
INTV-700229,AST-PNT-1009,2026-06-20,92,CORRECTIVE_ADJUSTMENT,88.5,98.0
INTV-700230,AST-TRK-1058,2026-06-20,92,PREVENTIVE_TAMPING_OVERHAUL,88.9,98.0
INTV-700231,AST-TRK-1111,2026-06-20,92,PREVENTIVE_TAMPING_OVERHAUL,91.6,98.0
INTV-700232,AST-TRK-1162,2026-06-20,92,PREVENTIVE_TAMPING_OVERHAUL,90.1,98.0
INTV-700233,AST-TRK-1168,2026-06-20,92,PREVENTIVE_TAMPING_OVERHAUL,91.9,98.0
INTV-700234,AST-TRK-1036,2026-06-21,93,PREVENTIVE_TAMPING_OVERHAUL,88.9,98.0
INTV-700235,AST-TRK-1088,2026-06-21,93,PREVENTIVE_TAMPING_OVERHAUL,88.4,98.0
INTV-700236,AST-TRK-1094,2026-06-21,93,PREVENTIVE_TAMPING_OVERHAUL,90.1,98.0
INTV-700237,AST-TRK-1136,2026-06-21,93,PREVENTIVE_TAMPING_OVERHAUL,90.1,98.0
INTV-700238,AST-PNT-1173,2026-06-21,93,CORRECTIVE_ADJUSTMENT,88.3,98.0
INTV-700239,AST-TRK-1025,2026-06-22,94,PREVENTIVE_TAMPING_OVERHAUL,90.4,98.0
INTV-700240,AST-TRK-1087,2026-06-22,94,PREVENTIVE_TAMPING_OVERHAUL,90.5,98.0
INTV-700241,AST-TRK-1092,2026-06-22,94,PREVENTIVE_TAMPING_OVERHAUL,91.3,98.0
INTV-700242,AST-OHE-1024,2026-06-23,95,CORRECTIVE_ADJUSTMENT,90.9,98.0
INTV-700243,AST-OHE-1041,2026-06-23,95,CORRECTIVE_ADJUSTMENT,90.6,98.0
INTV-700244,AST-TRK-1045,2026-06-23,95,PREVENTIVE_TAMPING_OVERHAUL,89.3,98.0
INTV-700245,AST-TRK-1101,2026-06-23,95,PREVENTIVE_TAMPING_OVERHAUL,91.2,98.0
INTV-700246,AST-TRK-1106,2026-06-23,95,PREVENTIVE_TAMPING_OVERHAUL,89.8,98.0
INTV-700247,AST-SIG-1150,2026-06-23,95,CORRECTIVE_ADJUSTMENT,88.4,98.0
INTV-700248,AST-SIG-1022,2026-06-24,96,CORRECTIVE_ADJUSTMENT,94.6,98.0
INTV-700249,AST-TRK-1057,2026-06-24,96,PREVENTIVE_TAMPING_OVERHAUL,89.8,98.0
