forecast_id,train_number,section_id,track_id,estimated_entry,estimated_exit,confidence_score,commodity,origin_hub,destination_hub,source
GF-7046,FRT-0047,NDLS-GZB,NDLS-GZB-DN,2026-10-02 22:51:00,2026-10-02 23:38:00,0.45,FERTILIZER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7047,FRT-0047,ALJN-TDL,ALJN-TDL-DN,2026-10-02 23:53:00,2026-10-03 00:47:00,0.45,AUTOMOBILES,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7048,FRT-0047,ANVT-GZB,ANVT-GZB-UP,2026-10-03 01:02:00,2026-10-03 02:23:00,0.45,AUTOMOBILES,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7049,FRT-0054,ALJN-TDL,ALJN-TDL-DN,2026-10-02 19:26:00,2026-10-02 20:35:00,0.56,AUTOMOBILES,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7050,FRT-0054,CNB-PRYJ,CNB-PRYJ-DN,2026-10-02 20:50:00,2026-10-02 21:42:00,0.56,FERTILIZER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7051,FRT-0054,NDLS-GZB,NDLS-GZB-DN,2026-10-02 21:57:00,2026-10-02 23:03:00,0.56,AUTOMOBILES,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7052,FRT-0080,ETW-CNB,ETW-CNB-UP,2026-10-02 04:05:00,2026-10-02 05:11:00,0.63,AUTOMOBILES,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7053,FRT-0080,CNB-PRYJ,CNB-PRYJ-DN,2026-10-02 05:26:00,2026-10-02 06:29:00,0.63,COAL,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7054,FRT-0090,NDLS-GZB,NDLS-GZB-DN,2026-10-02 14:18:00,2026-10-02 15:43:00,0.9,AUTOMOBILES,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7055,FRT-0090,ALJN-TDL,ALJN-TDL-DN,2026-10-02 15:58:00,2026-10-02 16:48:00,0.9,AUTOMOBILES,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7056,FRT-0090,ANVT-GZB,ANVT-GZB-UP,2026-10-02 17:03:00,2026-10-02 18:00:00,0.9,COAL,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7057,FRT-0090,GZB-ALJN,GZB-ALJN-DN,2026-10-02 18:15:00,2026-10-02 19:01:00,0.9,EMPTY_RAKE,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7058,FRT-0095,ALJN-TDL,ALJN-TDL-UP,2026-10-02 03:09:00,2026-10-02 04:35:00,0.85,EMPTY_RAKE,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7059,FRT-0095,CNB-PRYJ,CNB-PRYJ-DN,2026-10-02 04:50:00,2026-10-02 06:03:00,0.85,CONTAINER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7060,FRT-0005,GZB-ALJN,GZB-ALJN-UP,2026-10-03 12:31:00,2026-10-03 13:18:00,0.84,COAL,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7061,FRT-0005,NDLS-GZB,NDLS-GZB-DN,2026-10-03 13:33:00,2026-10-03 14:59:00,0.84,AUTOMOBILES,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7062,FRT-0008,CNB-PRYJ,CNB-PRYJ-UP,2026-10-03 03:27:00,2026-10-03 04:21:00,0.47,CONTAINER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7063,FRT-0008,TDL-ETW,TDL-ETW-DN,2026-10-03 04:36:00,2026-10-03 05:51:00,0.47,EMPTY_RAKE,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7064,FRT-0008,ANVT-GZB,ANVT-GZB-UP,2026-10-03 06:06:00,2026-10-03 06:53:00,0.47,COAL,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7065,FRT-0008,ETW-CNB,ETW-CNB-UP,2026-10-03 07:08:00,2026-10-03 07:53:00,0.47,CONTAINER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7066,FRT-0035,CNB-PRYJ,CNB-PRYJ-UP,2026-10-03 21:51:00,2026-10-03 23:13:00,0.54,CONTAINER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7067,FRT-0035,NDLS-GZB,NDLS-GZB-UP,2026-10-03 23:28:00,2026-10-04 00:20:00,0.54,EMPTY_RAKE,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7068,FRT-0035,ALJN-TDL,ALJN-TDL-UP,2026-10-04 00:35:00,2026-10-04 01:34:00,0.54,COAL,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7069,FRT-0040,GZB-ALJN,GZB-ALJN-DN,2026-10-03 12:04:00,2026-10-03 13:32:00,0.51,COAL,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7070,FRT-0040,ETW-CNB,ETW-CNB-DN,2026-10-03 13:47:00,2026-10-03 14:52:00,0.51,COAL,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7071,FRT-0040,ALJN-TDL,ALJN-TDL-DN,2026-10-03 15:07:00,2026-10-03 15:54:00,0.51,FERTILIZER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7072,FRT-0041,NDLS-GZB,NDLS-GZB-DN,2026-10-03 05:49:00,2026-10-03 06:44:00,0.83,EMPTY_RAKE,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7073,FRT-0041,GZB-ALJN,GZB-ALJN-UP,2026-10-03 06:59:00,2026-10-03 07:54:00,0.83,EMPTY_RAKE,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7074,FRT-0042,ANVT-GZB,ANVT-GZB-UP,2026-10-03 22:34:00,2026-10-03 23:29:00,0.76,AUTOMOBILES,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7075,FRT-0042,NDLS-GZB,NDLS-GZB-UP,2026-10-03 23:44:00,2026-10-04 00:34:00,0.76,COAL,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7076,FRT-0047,ETW-CNB,ETW-CNB-DN,2026-10-03 21:15:00,2026-10-03 22:26:00,0.89,AUTOMOBILES,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7077,FRT-0047,CNB-PRYJ,CNB-PRYJ-UP,2026-10-03 22:41:00,2026-10-04 00:10:00,0.89,COAL,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7078,FRT-0054,GZB-ALJN,GZB-ALJN-DN,2026-10-03 09:09:00,2026-10-03 10:33:00,0.92,EMPTY_RAKE,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7079,FRT-0054,TDL-ETW,TDL-ETW-DN,2026-10-03 10:48:00,2026-10-03 11:44:00,0.92,EMPTY_RAKE,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7080,FRT-0054,ALJN-TDL,ALJN-TDL-DN,2026-10-03 11:59:00,2026-10-03 12:49:00,0.92,FERTILIZER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7081,FRT-0054,ETW-CNB,ETW-CNB-UP,2026-10-03 13:04:00,2026-10-03 14:11:00,0.92,EMPTY_RAKE,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7082,FRT-0080,ANVT-GZB,ANVT-GZB-UP,2026-10-03 19:05:00,2026-10-03 20:29:00,0.94,EMPTY_RAKE,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7083,FRT-0080,NDLS-GZB,NDLS-GZB-UP,2026-10-03 20:44:00,2026-10-03 22:01:00,0.94,COAL,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7084,FRT-0090,NDLS-GZB,NDLS-GZB-UP,2026-10-03 06:05:00,2026-10-03 07:20:00,0.79,COAL,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7085,FRT-0090,ANVT-GZB,ANVT-GZB-DN,2026-10-03 07:35:00,2026-10-03 09:02:00,0.79,CONTAINER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7086,FRT-0090,CNB-PRYJ,CNB-PRYJ-UP,2026-10-03 09:17:00,2026-10-03 10:43:00,0.79,COAL,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7087,FRT-0095,GZB-ALJN,GZB-ALJN-DN,2026-10-03 16:28:00,2026-10-03 17:16:00,0.47,COAL,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7088,FRT-0095,CNB-PRYJ,CNB-PRYJ-DN,2026-10-03 17:31:00,2026-10-03 18:26:00,0.47,AUTOMOBILES,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7089,FRT-0095,TDL-ETW,TDL-ETW-UP,2026-10-03 18:41:00,2026-10-03 19:58:00,0.47,COAL,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7090,FRT-0005,ALJN-TDL,ALJN-TDL-DN,2026-10-04 15:18:00,2026-10-04 16:46:00,0.55,COAL,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7091,FRT-0005,TDL-ETW,TDL-ETW-UP,2026-10-04 17:01:00,2026-10-04 17:53:00,0.55,CONTAINER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7092,FRT-0005,ETW-CNB,ETW-CNB-DN,2026-10-04 18:08:00,2026-10-04 19:08:00,0.55,COAL,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7093,FRT-0005,GZB-ALJN,GZB-ALJN-DN,2026-10-04 19:23:00,2026-10-04 20:32:00,0.55,CONTAINER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7094,FRT-0008,TDL-ETW,TDL-ETW-UP,2026-10-04 15:52:00,2026-10-04 17:16:00,0.52,AUTOMOBILES,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7095,FRT-0008,ALJN-TDL,ALJN-TDL-UP,2026-10-04 17:31:00,2026-10-04 18:39:00,0.52,COAL,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7096,FRT-0008,NDLS-GZB,NDLS-GZB-UP,2026-10-04 18:54:00,2026-10-04 20:19:00,0.52,FERTILIZER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7097,FRT-0035,GZB-ALJN,GZB-ALJN-UP,2026-10-04 02:05:00,2026-10-04 02:53:00,0.8,CONTAINER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7098,FRT-0035,ANVT-GZB,ANVT-GZB-UP,2026-10-04 03:08:00,2026-10-04 04:22:00,0.8,COAL,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7099,FRT-0040,ANVT-GZB,ANVT-GZB-DN,2026-10-04 06:21:00,2026-10-04 07:46:00,0.84,COAL,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7100,FRT-0040,GZB-ALJN,GZB-ALJN-DN,2026-10-04 08:01:00,2026-10-04 09:22:00,0.84,COAL,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7101,FRT-0040,TDL-ETW,TDL-ETW-UP,2026-10-04 09:37:00,2026-10-04 10:27:00,0.84,EMPTY_RAKE,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7102,FRT-0041,CNB-PRYJ,CNB-PRYJ-UP,2026-10-04 17:09:00,2026-10-04 18:11:00,0.87,AUTOMOBILES,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7103,FRT-0041,ANVT-GZB,ANVT-GZB-UP,2026-10-04 18:26:00,2026-10-04 19:26:00,0.87,AUTOMOBILES,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7104,FRT-0041,TDL-ETW,TDL-ETW-UP,2026-10-04 19:41:00,2026-10-04 21:03:00,0.87,EMPTY_RAKE,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7105,FRT-0042,TDL-ETW,TDL-ETW-DN,2026-10-04 15:15:00,2026-10-04 16:02:00,0.94,EMPTY_RAKE,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7106,FRT-0042,NDLS-GZB,NDLS-GZB-UP,2026-10-04 16:17:00,2026-10-04 17:04:00,0.94,AUTOMOBILES,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7107,FRT-0047,CNB-PRYJ,CNB-PRYJ-DN,2026-10-04 16:26:00,2026-10-04 17:16:00,0.7,CONTAINER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7108,FRT-0047,ETW-CNB,ETW-CNB-DN,2026-10-04 17:31:00,2026-10-04 19:00:00,0.7,COAL,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7109,FRT-0047,NDLS-GZB,NDLS-GZB-UP,2026-10-04 19:15:00,2026-10-04 20:08:00,0.7,COAL,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7110,FRT-0054,NDLS-GZB,NDLS-GZB-DN,2026-10-04 06:31:00,2026-10-04 07:52:00,0.8,CONTAINER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7111,FRT-0054,CNB-PRYJ,CNB-PRYJ-UP,2026-10-04 08:07:00,2026-10-04 09:21:00,0.8,COAL,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7112,FRT-0054,ALJN-TDL,ALJN-TDL-UP,2026-10-04 09:36:00,2026-10-04 11:06:00,0.8,FERTILIZER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7113,FRT-0054,GZB-ALJN,GZB-ALJN-UP,2026-10-04 11:21:00,2026-10-04 12:46:00,0.8,CONTAINER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7114,FRT-0080,NDLS-GZB,NDLS-GZB-DN,2026-10-04 11:07:00,2026-10-04 12:09:00,0.66,EMPTY_RAKE,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7115,FRT-0080,ALJN-TDL,ALJN-TDL-DN,2026-10-04 12:24:00,2026-10-04 13:43:00,0.66,COAL,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7116,FRT-0080,GZB-ALJN,GZB-ALJN-UP,2026-10-04 13:58:00,2026-10-04 15:26:00,0.66,FERTILIZER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7117,FRT-0080,CNB-PRYJ,CNB-PRYJ-DN,2026-10-04 15:41:00,2026-10-04 16:29:00,0.66,FERTILIZER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7118,FRT-0090,NDLS-GZB,NDLS-GZB-UP,2026-10-04 13:28:00,2026-10-04 14:15:00,0.68,COAL,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7119,FRT-0090,ALJN-TDL,ALJN-TDL-DN,2026-10-04 14:30:00,2026-10-04 15:56:00,0.68,CONTAINER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7120,FRT-0095,ETW-CNB,ETW-CNB-UP,2026-10-04 09:08:00,2026-10-04 10:34:00,0.72,EMPTY_RAKE,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7121,FRT-0095,ANVT-GZB,ANVT-GZB-UP,2026-10-04 10:49:00,2026-10-04 12:18:00,0.72,COAL,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7122,FRT-0095,CNB-PRYJ,CNB-PRYJ-UP,2026-10-04 12:33:00,2026-10-04 13:38:00,0.72,FERTILIZER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7123,FRT-0095,GZB-ALJN,GZB-ALJN-DN,2026-10-04 13:53:00,2026-10-04 15:10:00,0.72,FERTILIZER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7124,FRT-0005,NDLS-GZB,NDLS-GZB-DN,2026-10-05 12:47:00,2026-10-05 14:04:00,0.68,CONTAINER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7125,FRT-0005,GZB-ALJN,GZB-ALJN-DN,2026-10-05 14:19:00,2026-10-05 15:34:00,0.68,EMPTY_RAKE,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7126,FRT-0008,ALJN-TDL,ALJN-TDL-UP,2026-10-05 03:14:00,2026-10-05 04:28:00,0.54,AUTOMOBILES,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7127,FRT-0008,TDL-ETW,TDL-ETW-UP,2026-10-05 04:43:00,2026-10-05 05:39:00,0.54,CONTAINER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7128,FRT-0008,GZB-ALJN,GZB-ALJN-UP,2026-10-05 05:54:00,2026-10-05 06:45:00,0.54,CONTAINER,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7129,FRT-0035,ANVT-GZB,ANVT-GZB-UP,2026-10-05 18:46:00,2026-10-05 19:32:00,0.93,EMPTY_RAKE,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
GF-7130,FRT-0035,ALJN-TDL,ALJN-TDL-UP,2026-10-05 19:47:00,2026-10-05 20:40:00,0.93,AUTOMOBILES,Tughlakabad ICD,Dankuni Goods Yard,SIMULATED_FOIS
