telemetry_id,asset_id,date,day_index,health_index,wear_metric,daily_gmt,temp_c,rainfall_mm,days_since_inspection,days_since_maintenance,deferred_count,speed_restriction_active
TEL-500045,AST-TRK-1045,2026-03-21,1,91.4,1.36,40.0,33.0,0.0,17,23,0,0
TEL-500046,AST-TRK-1046,2026-03-21,1,98.3,0.2,45.6,33.0,0.0,20,27,0,0
TEL-500047,AST-TRK-1047,2026-03-21,1,96.2,0.53,39.7,33.0,0.0,14,37,0,0
TEL-500048,AST-TRK-1048,2026-03-21,1,91.1,1.39,46.8,33.0,0.0,21,31,0,0
TEL-500049,AST-TRK-1049,2026-03-21,1,90.4,1.63,31.5,33.0,0.0,20,15,0,0
TEL-500050,AST-TRK-1050,2026-03-21,1,98.0,0.33,48.1,33.0,0.0,6,9,0,0
TEL-500051,AST-TRK-1051,2026-03-21,1,93.3,1.08,43.4,33.0,0.0,15,41,0,0
TEL-500052,AST-SIG-1052,2026-03-21,1,95.8,0.5,45.7,33.0,0.0,7,36,0,0
TEL-500053,AST-PNT-1053,2026-03-21,1,90.7,2.44,41.9,33.0,0.0,13,17,0,0
TEL-500054,AST-OHE-1054,2026-03-21,1,95.2,5.6,34.1,33.0,0.0,6,34,0,0
TEL-500055,AST-TRK-1055,2026-03-21,1,96.7,0.49,36.5,33.0,0.0,4,22,0,0
TEL-500056,AST-TRK-1056,2026-03-21,1,92.1,1.37,35.2,33.0,0.0,14,37,0,0
TEL-500057,AST-TRK-1057,2026-03-21,1,91.7,1.44,46.2,33.0,0.0,10,23,0,0
TEL-500058,AST-TRK-1058,2026-03-21,1,91.8,1.28,30.2,33.0,0.0,4,31,0,0
TEL-500059,AST-TRK-1059,2026-03-21,1,95.8,0.72,55.2,33.0,0.0,5,15,0,0
TEL-500060,AST-TRK-1060,2026-03-21,1,94.7,0.91,56.5,33.0,0.0,9,34,0,0
TEL-500061,AST-TRK-1061,2026-03-21,1,95.7,0.67,39.1,33.0,0.0,11,27,0,0
TEL-500062,AST-SIG-1062,2026-03-21,1,91.5,1.0,32.1,33.0,0.0,4,7,0,0
TEL-500063,AST-PNT-1063,2026-03-21,1,95.1,2.23,55.2,33.0,0.0,15,16,0,0
TEL-500064,AST-OHE-1064,2026-03-21,1,97.5,3.0,60.2,33.0,0.0,7,17,0,0
TEL-500065,AST-TRK-1065,2026-03-21,1,91.8,1.33,57.5,33.0,0.0,8,19,0,0
TEL-500066,AST-TRK-1066,2026-03-21,1,92.4,1.24,62.2,33.0,0.0,8,38,0,0
TEL-500067,AST-TRK-1067,2026-03-21,1,97.2,0.49,29.2,33.0,0.0,6,32,0,0
TEL-500068,AST-TRK-1068,2026-03-21,1,90.5,1.55,32.6,33.0,0.0,14,28,0,0
TEL-500069,AST-TRK-1069,2026-03-21,1,96.9,0.43,44.2,33.0,0.0,19,29,0,0
TEL-500070,AST-TRK-1070,2026-03-21,1,94.5,0.93,35.7,33.0,0.0,17,11,0,0
TEL-500071,AST-TRK-1071,2026-03-21,1,89.8,1.75,36.8,33.0,0.0,19,23,0,0
TEL-500072,AST-SIG-1072,2026-03-21,1,97.5,0.3,32.2,33.0,0.0,11,31,0,0
TEL-500073,AST-PNT-1073,2026-03-21,1,94.1,2.28,55.4,33.0,0.0,19,19,0,0
TEL-500074,AST-OHE-1074,2026-03-21,1,88.6,13.4,56.2,33.0,0.0,3,14,0,0
TEL-500075,AST-TRK-1075,2026-03-21,1,90.4,1.68,33.2,33.0,0.0,6,37,0,0
TEL-500076,AST-TRK-1076,2026-03-21,1,97.7,0.37,58.9,33.0,0.0,10,12,0,0
TEL-500077,AST-TRK-1077,2026-03-21,1,90.5,1.52,41.1,33.0,0.0,20,30,0,0
TEL-500078,AST-TRK-1078,2026-03-21,1,92.7,1.27,43.1,33.0,0.0,16,6,0,0
TEL-500079,AST-TRK-1079,2026-03-21,1,96.7,0.45,40.4,33.0,0.0,5,12,0,0
TEL-500080,AST-TRK-1080,2026-03-21,1,92.0,1.32,36.7,33.0,0.0,12,24,0,0
TEL-500081,AST-TRK-1081,2026-03-21,1,89.4,1.76,62.7,33.0,0.0,15,29,0,0
TEL-500082,AST-TRK-1082,2026-03-21,1,93.6,1.1,29.7,33.0,0.0,11,36,0,0
TEL-500083,AST-TRK-1083,2026-03-21,1,93.6,1.11,62.7,33.0,0.0,16,15,0,0
TEL-500084,AST-SIG-1084,2026-03-21,1,99.2,0.1,41.1,33.0,0.0,4,10,0,0
TEL-500085,AST-PNT-1085,2026-03-21,1,95.8,2.2,29.4,33.0,0.0,4,38,0,0
TEL-500086,AST-OHE-1086,2026-03-21,1,91.2,10.3,51.6,33.0,0.0,20,27,0,0
TEL-500087,AST-TRK-1087,2026-03-21,1,97.0,0.39,51.2,33.0,0.0,4,29,0,0
TEL-500088,AST-TRK-1088,2026-03-21,1,89.3,1.76,29.7,33.0,0.0,5,26,0,0
TEL-500089,AST-TRK-1089,2026-03-21,1,92.5,1.2,54.5,33.0,0.0,16,20,0,0
TEL-500090,AST-TRK-1090,2026-03-21,1,90.3,1.65,53.0,33.0,0.0,19,21,0,0
TEL-500091,AST-TRK-1091,2026-03-21,1,95.7,0.68,51.7,33.0,0.0,19,34,0,0
TEL-500092,AST-TRK-1092,2026-03-21,1,95.9,0.61,60.7,33.0,0.0,4,25,0,0
TEL-500093,AST-TRK-1093,2026-03-21,1,97.1,0.49,64.0,33.0,0.0,9,11,0,0
TEL-500094,AST-TRK-1094,2026-03-21,1,93.9,0.98,62.2,33.0,0.0,6,32,0,0
TEL-500095,AST-TRK-1095,2026-03-21,1,93.7,0.99,59.4,33.0,0.0,11,40,0,0
TEL-500096,AST-SIG-1096,2026-03-21,1,93.2,0.8,62.0,33.0,0.0,7,21,0,0
TEL-500097,AST-PNT-1097,2026-03-21,1,91.9,2.38,27.0,33.0,0.0,10,34,0,0
TEL-500098,AST-OHE-1098,2026-03-21,1,93.2,8.0,63.8,33.0,0.0,16,39,0,0
TEL-500099,AST-TRK-1099,2026-03-21,1,92.6,1.23,52.4,33.0,0.0,7,21,0,0
TEL-500100,AST-TRK-1100,2026-03-21,1,97.3,0.38,52.0,33.0,0.0,12,25,0,0
TEL-500101,AST-TRK-1101,2026-03-21,1,96.8,0.45,54.5,33.0,0.0,9,20,0,0
TEL-500102,AST-TRK-1102,2026-03-21,1,96.4,0.63,31.3,33.0,0.0,15,14,0,0
TEL-500103,AST-TRK-1103,2026-03-21,1,98.2,0.24,25.6,33.0,0.0,18,7,0,0
TEL-500104,AST-TRK-1104,2026-03-21,1,96.5,0.52,33.6,33.0,0.0,10,6,0,0
TEL-500105,AST-TRK-1105,2026-03-21,1,95.1,0.83,33.8,33.0,0.0,4,32,0,0
TEL-500106,AST-TRK-1106,2026-03-21,1,94.3,0.94,61.5,33.0,0.0,17,31,0,0
TEL-500107,AST-TRK-1107,2026-03-21,1,98.3,0.28,40.0,33.0,0.0,15,15,0,0
TEL-500108,AST-TRK-1108,2026-03-21,1,94.1,0.95,61.2,33.0,0.0,14,12,0,0
TEL-500109,AST-TRK-1109,2026-03-21,1,89.5,1.7,36.5,33.0,0.0,18,30,0,0
TEL-500110,AST-TRK-1110,2026-03-21,1,89.8,1.72,58.4,33.0,0.0,11,32,0,0
TEL-500111,AST-TRK-1111,2026-03-21,1,97.1,0.5,26.7,33.0,0.0,15,25,0,0
TEL-500112,AST-SIG-1112,2026-03-21,1,91.5,1.0,43.6,33.0,0.0,18,14,0,0
TEL-500113,AST-PNT-1113,2026-03-21,1,92.8,2.34,41.1,33.0,0.0,18,17,0,0
TEL-500114,AST-OHE-1114,2026-03-21,1,89.6,12.2,51.3,33.0,0.0,7,18,0,0
TEL-500115,AST-TRK-1115,2026-03-21,1,97.4,0.46,54.5,33.0,0.0,20,22,0,0
TEL-500116,AST-TRK-1116,2026-03-21,1,97.8,0.3,64.2,33.0,0.0,17,39,0,0
TEL-500117,AST-TRK-1117,2026-03-21,1,93.8,1.05,30.3,33.0,0.0,11,41,0,0
TEL-500118,AST-TRK-1118,2026-03-21,1,90.4,1.62,45.7,33.0,0.0,6,34,0,0
TEL-500119,AST-TRK-1119,2026-03-21,1,96.7,0.54,33.8,33.0,0.0,3,15,0,0
TEL-500120,AST-TRK-1120,2026-03-21,1,89.4,1.77,53.8,33.0,0.0,21,20,0,0
TEL-500121,AST-TRK-1121,2026-03-21,1,91.1,1.52,55.9,33.0,0.0,20,26,0,0
TEL-500122,AST-TRK-1122,2026-03-21,1,92.6,1.3,39.0,33.0,0.0,21,18,0,0
TEL-500123,AST-TRK-1123,2026-03-21,1,97.3,0.4,42.6,33.0,0.0,9,10,0,0
TEL-500124,AST-TRK-1124,2026-03-21,1,94.3,0.93,30.0,33.0,0.0,8,11,0,0
TEL-500125,AST-TRK-1125,2026-03-21,1,98.1,0.19,51.9,33.0,0.0,15,31,0,0
TEL-500126,AST-TRK-1126,2026-03-21,1,95.2,0.79,35.4,33.0,0.0,15,7,0,0
TEL-500127,AST-TRK-1127,2026-03-21,1,95.5,0.63,56.5,33.0,0.0,13,16,0,0
TEL-500128,AST-SIG-1128,2026-03-21,1,95.8,0.5,49.2,33.0,0.0,17,22,0,0
TEL-500129,AST-PNT-1129,2026-03-21,1,94.9,2.24,61.6,33.0,0.0,14,37,0,0
TEL-500130,AST-OHE-1130,2026-03-21,1,97.6,2.8,56.3,33.0,0.0,20,7,0,0
TEL-500131,AST-TRK-1131,2026-03-21,1,95.5,0.73,55.0,33.0,0.0,9,6,0,0
TEL-500132,AST-TRK-1132,2026-03-21,1,91.9,1.25,59.0,33.0,0.0,12,35,0,0
TEL-500133,AST-TRK-1133,2026-03-21,1,92.9,1.24,48.2,33.0,0.0,8,23,0,0
TEL-500134,AST-TRK-1134,2026-03-21,1,89.5,1.71,58.2,33.0,0.0,14,31,0,0
TEL-500135,AST-TRK-1135,2026-03-21,1,93.6,0.99,59.0,33.0,0.0,6,19,0,0
TEL-500136,AST-TRK-1136,2026-03-21,1,95.8,0.67,38.9,33.0,0.0,19,32,0,0
TEL-500137,AST-TRK-1137,2026-03-21,1,94.8,0.75,34.6,33.0,0.0,20,19,0,0
TEL-500138,AST-TRK-1138,2026-03-21,1,90.8,1.55,54.5,33.0,0.0,5,20,0,0
TEL-500139,AST-TRK-1139,2026-03-21,1,91.7,1.3,30.7,33.0,0.0,15,9,0,0
TEL-500140,AST-TRK-1140,2026-03-21,1,96.5,0.53,44.6,33.0,0.0,17,31,0,0
TEL-500141,AST-TRK-1141,2026-03-21,1,89.8,1.74,62.2,33.0,0.0,16,22,0,0
TEL-500142,AST-TRK-1142,2026-03-21,1,95.2,0.73,50.3,33.0,0.0,16,16,0,0
TEL-500143,AST-TRK-1143,2026-03-21,1,95.4,0.75,39.8,33.0,0.0,17,20,0,0
TEL-500144,AST-TRK-1144,2026-03-21,1,89.4,1.72,35.1,33.0,0.0,8,37,0,0
TEL-500145,AST-TRK-1145,2026-03-21,1,89.9,1.75,41.1,33.0,0.0,21,18,0,0
TEL-500146,AST-TRK-1146,2026-03-21,1,92.3,1.32,37.6,33.0,0.0,10,23,0,0
TEL-500147,AST-TRK-1147,2026-03-21,1,93.3,1.16,63.0,33.0,0.0,6,8,0,0
TEL-500148,AST-TRK-1148,2026-03-21,1,94.5,0.81,33.8,33.0,0.0,20,10,0,0
TEL-500149,AST-TRK-1149,2026-03-21,1,92.3,1.34,45.0,33.0,0.0,6,14,0,0
TEL-500150,AST-SIG-1150,2026-03-21,1,91.5,1.0,38.3,33.0,0.0,8,33,0,0
TEL-500151,AST-PNT-1151,2026-03-21,1,92.4,2.36,54.3,33.0,0.0,15,20,0,0
TEL-500152,AST-OHE-1152,2026-03-21,1,94.7,6.2,38.5,33.0,0.0,16,13,0,0
TEL-500153,AST-TRK-1153,2026-03-21,1,93.8,0.97,35.6,33.0,0.0,5,26,0,0
TEL-500154,AST-TRK-1154,2026-03-21,1,92.7,1.16,61.9,33.0,0.0,13,31,0,0
TEL-500155,AST-TRK-1155,2026-03-21,1,97.0,0.5,55.9,33.0,0.0,3,37,0,0
TEL-500156,AST-TRK-1156,2026-03-21,1,90.4,1.61,30.1,33.0,0.0,9,17,0,0
TEL-500157,AST-TRK-1157,2026-03-21,1,92.3,1.32,59.5,33.0,0.0,5,17,0,0
TEL-500158,AST-TRK-1158,2026-03-21,1,91.4,1.4,37.6,33.0,0.0,5,20,0,0
TEL-500159,AST-TRK-1159,2026-03-21,1,90.5,1.58,53.9,33.0,0.0,15,37,0,0
TEL-500160,AST-TRK-1160,2026-03-21,1,95.5,0.76,50.5,33.0,0.0,7,13,0,0
TEL-500161,AST-TRK-1161,2026-03-21,1,93.8,0.97,26.2,33.0,0.0,11,34,0,0
TEL-500162,AST-TRK-1162,2026-03-21,1,95.5,0.69,58.7,33.0,0.0,8,30,0,0
TEL-500163,AST-TRK-1163,2026-03-21,1,96.6,0.58,43.5,33.0,0.0,12,20,0,0
TEL-500164,AST-TRK-1164,2026-03-21,1,94.4,0.9,53.4,33.0,0.0,3,6,0,0
TEL-500165,AST-TRK-1165,2026-03-21,1,94.2,0.87,30.7,33.0,0.0,3,22,0,0
TEL-500166,AST-TRK-1166,2026-03-21,1,92.3,1.29,51.1,33.0,0.0,7,19,0,0
TEL-500167,AST-TRK-1167,2026-03-21,1,93.7,1.03,49.3,33.0,0.0,12,6,0,0
TEL-500168,AST-TRK-1168,2026-03-21,1,96.8,0.47,57.4,33.0,0.0,20,25,0,1
TEL-500169,AST-TRK-1169,2026-03-21,1,91.5,1.46,62.4,33.0,0.0,18,28,0,0
TEL-500170,AST-TRK-1170,2026-03-21,1,92.2,1.27,59.0,33.0,0.0,3,8,0,0
TEL-500171,AST-TRK-1171,2026-03-21,1,95.5,0.78,31.0,33.0,0.0,17,25,0,0
TEL-500172,AST-SIG-1172,2026-03-21,1,97.5,0.3,25.5,33.0,0.0,13,38,0,0
TEL-500173,AST-PNT-1173,2026-03-21,1,97.0,2.14,31.5,33.0,0.0,16,28,0,0
TEL-500174,AST-OHE-1174,2026-03-21,1,98.7,1.5,46.8,33.0,0.0,19,32,0,0
TEL-500175,AST-TRK-1001,2026-03-22,2,94.2,0.86,48.7,35.0,0.0,19,17,0,0
TEL-500176,AST-TRK-1002,2026-03-22,2,92.9,1.24,35.2,35.0,0.0,12,9,0,0
TEL-500177,AST-SIG-1003,2026-03-22,2,92.2,0.92,52.9,35.0,0.0,21,20,0,0
TEL-500178,AST-PNT-1004,2026-03-22,2,94.9,2.24,59.0,35.0,0.0,5,37,0,0
TEL-500179,AST-OHE-1005,2026-03-22,2,87.9,14.2,30.3,35.0,0.0,14,40,0,0
TEL-500180,AST-TRK-1006,2026-03-22,2,97.1,0.34,56.5,35.0,0.0,19,14,0,0
TEL-500181,AST-TRK-1007,2026-03-22,2,96.2,0.66,60.9,35.0,0.0,4,35,0,0
TEL-500182,AST-SIG-1008,2026-03-22,2,97.4,0.31,25.5,35.0,0.0,14,32,0,0
TEL-500183,AST-PNT-1009,2026-03-22,2,93.0,2.33,42.6,35.0,0.0,12,29,0,0
TEL-500184,AST-OHE-1010,2026-03-22,2,98.6,1.7,45.0,35.0,0.0,11,39,0,0
TEL-500185,AST-TRK-1011,2026-03-22,2,95.6,0.61,38.4,35.0,0.0,14,10,0,0
TEL-500186,AST-TRK-1012,2026-03-22,2,92.1,1.3,30.0,35.0,0.0,9,8,0,0
TEL-500187,AST-SIG-1013,2026-03-22,2,92.3,0.9,38.2,35.0,0.0,12,19,0,0
TEL-500188,AST-PNT-1014,2026-03-22,2,90.7,2.44,38.6,35.0,0.0,11,21,0,0
TEL-500189,AST-OHE-1015,2026-03-22,2,90.2,11.5,33.5,35.0,0.0,8,11,0,0
TEL-500190,AST-TRK-1016,2026-03-22,2,97.8,0.29,63.6,35.0,0.0,15,39,0,0
TEL-500191,AST-TRK-1017,2026-03-22,2,90.8,1.51,35.7,35.0,0.0,4,42,0,0
TEL-500192,AST-SIG-1018,2026-03-22,2,95.8,0.5,30.2,35.0,0.0,22,33,0,0
TEL-500193,AST-PNT-1019,2026-03-22,2,97.2,2.13,34.2,35.0,0.0,5,37,0,0
TEL-500194,AST-OHE-1020,2026-03-22,2,98.0,2.3,61.7,35.0,0.0,5,15,0,0
TEL-500195,AST-TRK-1021,2026-03-22,2,96.3,0.55,54.0,35.0,0.0,5,11,0,0
TEL-500196,AST-SIG-1022,2026-03-22,2,98.1,0.22,62.9,35.0,0.0,20,20,0,0
TEL-500197,AST-PNT-1023,2026-03-22,2,93.4,2.31,56.5,35.0,0.0,22,38,0,0
TEL-500198,AST-OHE-1024,2026-03-22,2,94.8,6.1,59.7,35.0,0.0,4,27,0,0
TEL-500199,AST-TRK-1025,2026-03-22,2,96.1,0.58,32.4,35.0,0.0,22,24,0,0
TEL-500200,AST-SIG-1026,2026-03-22,2,92.3,0.91,28.2,35.0,0.0,12,21,0,0
TEL-500201,AST-PNT-1027,2026-03-22,2,95.1,2.23,52.3,35.0,0.0,16,22,0,0
TEL-500202,AST-OHE-1028,2026-03-22,2,90.1,11.6,30.5,35.0,0.0,4,8,0,0
TEL-500203,AST-TRK-1029,2026-03-22,2,91.0,1.43,53.0,35.0,0.0,17,35,0,0
TEL-500204,AST-TRK-1030,2026-03-22,2,90.4,1.68,56.4,35.0,0.0,13,18,0,0
TEL-500205,AST-TRK-1031,2026-03-22,2,91.8,1.39,33.5,35.0,0.0,17,34,0,0
TEL-500206,AST-TRK-1032,2026-03-22,2,93.3,1.18,25.4,35.0,0.0,22,31,0,0
TEL-500207,AST-TRK-1033,2026-03-22,2,96.1,0.6,61.1,35.0,0.0,11,21,0,0
TEL-500208,AST-TRK-1034,2026-03-22,2,91.2,1.42,37.9,35.0,0.0,7,18,0,0
TEL-500209,AST-TRK-1035,2026-03-22,2,96.0,0.69,51.6,35.0,0.0,20,35,0,0
TEL-500210,AST-TRK-1036,2026-03-22,2,91.2,1.52,43.3,35.0,0.0,6,30,0,0
TEL-500211,AST-TRK-1037,2026-03-22,2,93.7,1.01,61.4,35.0,0.0,8,40,0,0
TEL-500212,AST-TRK-1038,2026-03-22,2,94.7,0.81,57.5,35.0,0.0,14,35,0,0
TEL-500213,AST-SIG-1039,2026-03-22,2,96.6,0.4,43.7,35.0,0.0,5,29,0,0
TEL-500214,AST-PNT-1040,2026-03-22,2,93.4,2.31,58.1,35.0,0.0,12,34,0,0
TEL-500215,AST-OHE-1041,2026-03-22,2,98.6,1.6,54.0,35.0,0.0,16,27,0,0
TEL-500216,AST-TRK-1042,2026-03-22,2,94.2,0.94,62.0,35.0,0.0,21,42,0,0
TEL-500217,AST-TRK-1043,2026-03-22,2,90.9,1.57,39.9,35.0,0.0,13,18,0,0
TEL-500218,AST-TRK-1044,2026-03-22,2,93.8,1.03,60.7,35.0,0.0,16,22,0,0
TEL-500219,AST-TRK-1045,2026-03-22,2,91.4,1.38,39.5,35.0,0.0,18,24,0,0
TEL-500220,AST-TRK-1046,2026-03-22,2,97.9,0.21,58.6,35.0,0.0,21,28,0,0
TEL-500221,AST-TRK-1047,2026-03-22,2,95.9,0.55,53.3,35.0,0.0,15,38,0,0
TEL-500222,AST-TRK-1048,2026-03-22,2,91.1,1.41,46.2,35.0,0.0,22,32,0,0
TEL-500223,AST-TRK-1049,2026-03-22,2,90.6,1.64,38.9,35.0,0.0,21,16,0,0
TEL-500224,AST-TRK-1050,2026-03-22,2,97.2,0.34,36.6,35.0,0.0,7,10,0,0
TEL-500225,AST-TRK-1051,2026-03-22,2,93.5,1.1,62.2,35.0,0.0,16,42,0,0
TEL-500226,AST-SIG-1052,2026-03-22,2,95.8,0.5,53.7,35.0,0.0,8,37,0,0
TEL-500227,AST-PNT-1053,2026-03-22,2,90.7,2.44,64.6,35.0,0.0,14,18,0,0
TEL-500228,AST-OHE-1054,2026-03-22,2,95.2,5.7,63.0,35.0,0.0,7,35,0,0
TEL-500229,AST-TRK-1055,2026-03-22,2,96.6,0.51,44.6,35.0,0.0,5,23,0,0
TEL-500230,AST-TRK-1056,2026-03-22,2,92.1,1.39,34.4,35.0,0.0,15,38,0,0
TEL-500231,AST-TRK-1057,2026-03-22,2,91.5,1.45,39.8,35.0,0.0,11,24,0,0
TEL-500232,AST-TRK-1058,2026-03-22,2,92.2,1.3,63.1,35.0,0.0,5,32,0,0
TEL-500233,AST-TRK-1059,2026-03-22,2,95.1,0.73,44.8,35.0,0.0,6,16,0,0
TEL-500234,AST-TRK-1060,2026-03-22,2,94.8,0.92,38.8,35.0,0.0,10,35,0,0
TEL-500235,AST-TRK-1061,2026-03-22,2,95.6,0.68,59.3,35.0,0.0,12,28,0,0
TEL-500236,AST-SIG-1062,2026-03-22,2,91.5,1.0,31.2,35.0,0.0,5,8,0,0
TEL-500237,AST-PNT-1063,2026-03-22,2,94.9,2.24,27.2,35.0,0.0,16,17,0,0
TEL-500238,AST-OHE-1064,2026-03-22,2,97.4,3.1,64.4,35.0,0.0,8,18,0,0
TEL-500239,AST-TRK-1065,2026-03-22,2,92.3,1.35,43.0,35.0,0.0,9,20,0,0
TEL-500240,AST-TRK-1066,2026-03-22,2,91.9,1.26,31.1,35.0,0.0,9,39,0,0
TEL-500241,AST-TRK-1067,2026-03-22,2,96.4,0.5,49.3,35.0,0.0,7,33,0,0
TEL-500242,AST-TRK-1068,2026-03-22,2,91.0,1.56,47.8,35.0,0.0,15,29,0,0
TEL-500243,AST-TRK-1069,2026-03-22,2,97.2,0.44,39.8,35.0,0.0,20,30,0,0
TEL-500244,AST-TRK-1070,2026-03-22,2,94.1,0.96,60.4,35.0,0.0,18,12,0,0
TEL-500245,AST-TRK-1071,2026-03-22,2,89.4,1.77,60.2,35.0,0.0,20,24,0,0
TEL-500246,AST-SIG-1072,2026-03-22,2,97.5,0.3,43.2,35.0,0.0,12,32,0,0
TEL-500247,AST-PNT-1073,2026-03-22,2,93.8,2.29,46.2,35.0,0.0,20,20,0,0
TEL-500248,AST-OHE-1074,2026-03-22,2,88.5,13.5,29.0,35.0,0.0,4,15,0,0
TEL-500249,AST-TRK-1075,2026-03-22,2,89.5,1.69,52.5,35.0,0.0,7,38,0,0
TEL-500250,AST-TRK-1076,2026-03-22,2,97.4,0.39,57.6,35.0,0.0,11,13,0,0
TEL-500251,AST-TRK-1077,2026-03-22,2,90.5,1.54,54.8,35.0,0.0,21,31,0,0
TEL-500252,AST-TRK-1078,2026-03-22,2,92.5,1.28,51.0,35.0,0.0,17,7,0,0
TEL-500253,AST-TRK-1079,2026-03-22,2,96.3,0.47,29.5,35.0,0.0,6,13,0,0
TEL-500254,AST-TRK-1080,2026-03-22,2,92.1,1.33,55.1,35.0,0.0,13,25,0,0
TEL-500255,AST-TRK-1081,2026-03-22,2,89.8,1.78,39.2,35.0,0.0,16,30,0,0
TEL-500256,AST-TRK-1082,2026-03-22,2,92.8,1.11,42.5,35.0,0.0,12,37,0,0
