inspection_id,asset_id,date,day_index,inspection_type,measured_health,detected_flaws
INSP-600047,AST-TRK-1001,2026-04-03,14,USFD_ULTRASONIC,93.7,0
INSP-600048,AST-TRK-1051,2026-04-03,14,USFD_ULTRASONIC,92.4,0
INSP-600049,AST-PNT-1073,2026-04-03,14,POINT_GEAR_TEST,93.7,0
INSP-600050,AST-TRK-1081,2026-04-03,14,USFD_ULTRASONIC,87.5,0
INSP-600051,AST-TRK-1107,2026-04-03,14,USFD_ULTRASONIC,94.7,0
INSP-600052,AST-TRK-1111,2026-04-03,14,USFD_ULTRASONIC,97.2,0
INSP-600053,AST-TRK-1127,2026-04-03,14,USFD_ULTRASONIC,93.2,0
INSP-600054,AST-SIG-1128,2026-04-03,14,POINT_GEAR_TEST,95.9,0
INSP-600055,AST-TRK-1143,2026-04-03,14,USFD_ULTRASONIC,95.6,0
INSP-600056,AST-TRK-1171,2026-04-03,14,USFD_ULTRASONIC,95.6,0
INSP-600057,AST-SIG-1008,2026-04-04,15,POINT_GEAR_TEST,96.8,0
INSP-600058,AST-TRK-1029,2026-04-04,15,USFD_ULTRASONIC,88.4,0
INSP-600059,AST-TRK-1038,2026-04-04,15,USFD_ULTRASONIC,92.3,0
INSP-600060,AST-TRK-1043,2026-04-04,15,USFD_ULTRASONIC,90.6,0
INSP-600061,AST-TRK-1070,2026-04-04,15,USFD_ULTRASONIC,94.2,0
INSP-600062,AST-TRK-1089,2026-04-04,15,USFD_ULTRASONIC,91.0,0
INSP-600063,AST-OHE-1098,2026-04-04,15,TOWER_WAGON,91.2,0
INSP-600064,AST-PNT-1113,2026-04-04,15,POINT_GEAR_TEST,90.5,0
INSP-600065,AST-TRK-1117,2026-04-04,15,USFD_ULTRASONIC,91.6,0
INSP-600066,AST-TRK-1139,2026-04-04,15,USFD_ULTRASONIC,91.5,0
INSP-600067,AST-SIG-1003,2026-04-05,16,POINT_GEAR_TEST,92.8,0
INSP-600068,AST-TRK-1082,2026-04-05,16,USFD_ULTRASONIC,94.2,0
INSP-600069,AST-TRK-1100,2026-04-05,16,USFD_ULTRASONIC,98.1,0
INSP-600070,AST-TRK-1159,2026-04-05,16,USFD_ULTRASONIC,86.8,0
INSP-600071,AST-PNT-1173,2026-04-05,16,POINT_GEAR_TEST,96.6,0
INSP-600072,AST-TRK-1002,2026-04-06,17,USFD_ULTRASONIC,89.9,0
INSP-600073,AST-PNT-1009,2026-04-06,17,POINT_GEAR_TEST,90.0,0
INSP-600074,AST-SIG-1013,2026-04-06,17,POINT_GEAR_TEST,93.2,0
INSP-600075,AST-OHE-1041,2026-04-06,17,TOWER_WAGON,97.8,0
INSP-600076,AST-TRK-1044,2026-04-06,17,USFD_ULTRASONIC,93.3,0
INSP-600077,AST-PNT-1063,2026-04-06,17,POINT_GEAR_TEST,91.7,0
INSP-600078,AST-SIG-1072,2026-04-06,17,POINT_GEAR_TEST,97.1,0
INSP-600079,AST-TRK-1132,2026-04-06,17,USFD_ULTRASONIC,89.7,0
INSP-600080,AST-TRK-1134,2026-04-06,17,USFD_ULTRASONIC,86.3,0
INSP-600081,AST-TRK-1142,2026-04-06,17,USFD_ULTRASONIC,95.1,0
INSP-600082,AST-SIG-1172,2026-04-06,17,POINT_GEAR_TEST,95.8,0
INSP-600083,AST-PNT-1053,2026-04-07,18,POINT_GEAR_TEST,86.8,0
INSP-600084,AST-TRK-1060,2026-04-07,18,USFD_ULTRASONIC,92.2,0
INSP-600085,AST-TRK-1061,2026-04-07,18,USFD_ULTRASONIC,92.8,0
INSP-600086,AST-TRK-1083,2026-04-07,18,USFD_ULTRASONIC,92.4,0
INSP-600087,AST-TRK-1101,2026-04-07,18,USFD_ULTRASONIC,95.2,0
INSP-600088,AST-TRK-1104,2026-04-07,18,USFD_ULTRASONIC,93.5,0
INSP-600089,AST-TRK-1056,2026-04-08,19,USFD_ULTRASONIC,89.2,0
INSP-600090,AST-TRK-1066,2026-04-08,19,USFD_ULTRASONIC,90.0,0
INSP-600091,AST-TRK-1076,2026-04-08,19,USFD_ULTRASONIC,94.2,0
INSP-600092,AST-TRK-1125,2026-04-08,19,USFD_ULTRASONIC,94.8,0
INSP-600093,AST-OHE-1005,2026-04-09,20,TOWER_WAGON,85.6,0
INSP-600094,AST-SIG-1026,2026-04-09,20,POINT_GEAR_TEST,91.2,0
INSP-600095,AST-TRK-1095,2026-04-09,20,USFD_ULTRASONIC,90.9,0
INSP-600096,AST-SIG-1096,2026-04-09,20,POINT_GEAR_TEST,93.5,0
INSP-600097,AST-PNT-1097,2026-04-09,20,POINT_GEAR_TEST,89.9,0
INSP-600098,AST-TRK-1133,2026-04-09,20,USFD_ULTRASONIC,91.9,0
INSP-600099,AST-TRK-1144,2026-04-09,20,USFD_ULTRASONIC,88.0,0
INSP-600100,AST-TRK-1149,2026-04-09,20,USFD_ULTRASONIC,90.6,0
INSP-600101,AST-TRK-1154,2026-04-09,20,USFD_ULTRASONIC,89.7,0
INSP-600102,AST-PNT-1040,2026-04-10,21,POINT_GEAR_TEST,89.3,0
INSP-600103,AST-TRK-1075,2026-04-10,21,USFD_ULTRASONIC,86.0,0
INSP-600104,AST-TRK-1116,2026-04-10,21,USFD_ULTRASONIC,94.5,0
INSP-600105,AST-PNT-1129,2026-04-10,21,POINT_GEAR_TEST,93.6,0
INSP-600106,AST-TRK-1156,2026-04-10,21,USFD_ULTRASONIC,86.4,0
INSP-600107,AST-TRK-1161,2026-04-10,21,USFD_ULTRASONIC,90.9,0
INSP-600108,AST-TRK-1163,2026-04-10,21,USFD_ULTRASONIC,92.9,0
INSP-600109,AST-PNT-1004,2026-04-11,22,POINT_GEAR_TEST,97.0,0
INSP-600110,AST-PNT-1014,2026-04-11,22,POINT_GEAR_TEST,86.3,0
INSP-600111,AST-OHE-1015,2026-04-11,22,TOWER_WAGON,87.6,0
INSP-600112,AST-TRK-1030,2026-04-11,22,USFD_ULTRASONIC,88.5,0
INSP-600113,AST-TRK-1033,2026-04-11,22,USFD_ULTRASONIC,95.0,0
INSP-600114,AST-TRK-1037,2026-04-11,22,USFD_ULTRASONIC,92.6,0
INSP-600115,AST-OHE-1114,2026-04-11,22,TOWER_WAGON,86.1,0
INSP-600116,AST-TRK-1135,2026-04-11,22,USFD_ULTRASONIC,93.0,0
INSP-600117,AST-TRK-1138,2026-04-11,22,USFD_ULTRASONIC,89.0,0
INSP-600118,AST-TRK-1147,2026-04-11,22,USFD_ULTRASONIC,90.8,0
INSP-600119,AST-TRK-1160,2026-04-11,22,USFD_ULTRASONIC,91.6,0
INSP-600120,AST-TRK-1162,2026-04-11,22,USFD_ULTRASONIC,94.7,0
INSP-600121,AST-TRK-1012,2026-04-12,23,USFD_ULTRASONIC,90.1,0
INSP-600122,AST-TRK-1021,2026-04-12,23,USFD_ULTRASONIC,93.4,0
INSP-600123,AST-TRK-1050,2026-04-12,23,USFD_ULTRASONIC,97.0,0
INSP-600124,AST-SIG-1052,2026-04-12,23,POINT_GEAR_TEST,94.8,0
INSP-600125,AST-TRK-1058,2026-04-12,23,USFD_ULTRASONIC,90.7,0
INSP-600126,AST-SIG-1062,2026-04-12,23,POINT_GEAR_TEST,91.1,0
INSP-600127,AST-TRK-1067,2026-04-12,23,USFD_ULTRASONIC,94.4,0
INSP-600128,AST-TRK-1080,2026-04-12,23,USFD_ULTRASONIC,88.8,0
INSP-600129,AST-TRK-1087,2026-04-12,23,USFD_ULTRASONIC,95.4,0
INSP-600130,AST-TRK-1110,2026-04-12,23,USFD_ULTRASONIC,88.0,0
INSP-600131,AST-TRK-1153,2026-04-12,23,USFD_ULTRASONIC,94.3,0
INSP-600132,AST-TRK-1007,2026-04-13,24,USFD_ULTRASONIC,93.0,0
INSP-600133,AST-TRK-1034,2026-04-13,24,USFD_ULTRASONIC,88.9,0
INSP-600134,AST-TRK-1036,2026-04-13,24,USFD_ULTRASONIC,86.5,0
INSP-600135,AST-TRK-1055,2026-04-13,24,USFD_ULTRASONIC,94.9,0
INSP-600136,AST-TRK-1092,2026-04-13,24,USFD_ULTRASONIC,92.7,0
INSP-600137,AST-TRK-1131,2026-04-13,24,USFD_ULTRASONIC,93.1,0
INSP-600138,AST-TRK-1167,2026-04-13,24,USFD_ULTRASONIC,91.9,0
INSP-600139,AST-TRK-1011,2026-04-14,25,USFD_ULTRASONIC,93.2,0
INSP-600140,AST-PNT-1019,2026-04-14,25,POINT_GEAR_TEST,92.2,0
INSP-600141,AST-SIG-1039,2026-04-14,25,POINT_GEAR_TEST,94.4,0
INSP-600142,AST-TRK-1057,2026-04-14,25,USFD_ULTRASONIC,87.9,0
INSP-600143,AST-TRK-1065,2026-04-14,25,USFD_ULTRASONIC,91.1,0
INSP-600144,AST-TRK-1068,2026-04-14,25,USFD_ULTRASONIC,89.6,0
INSP-600145,AST-SIG-1084,2026-04-14,25,POINT_GEAR_TEST,101.0,0
INSP-600146,AST-TRK-1118,2026-04-14,25,USFD_ULTRASONIC,87.8,0
INSP-600147,AST-TRK-1146,2026-04-14,25,USFD_ULTRASONIC,91.7,0
INSP-600148,AST-TRK-1158,2026-04-14,25,USFD_ULTRASONIC,89.8,0
INSP-600149,AST-TRK-1166,2026-04-14,25,USFD_ULTRASONIC,87.7,0
INSP-600150,AST-OHE-1010,2026-04-15,26,TOWER_WAGON,93.7,0
INSP-600151,AST-TRK-1094,2026-04-15,26,USFD_ULTRASONIC,91.4,0
INSP-600152,AST-TRK-1099,2026-04-15,26,USFD_ULTRASONIC,91.8,0
INSP-600153,AST-TRK-1123,2026-04-15,26,USFD_ULTRASONIC,96.2,0
INSP-600154,AST-TRK-1059,2026-04-16,27,USFD_ULTRASONIC,93.9,0
INSP-600155,AST-OHE-1074,2026-04-16,27,TOWER_WAGON,85.3,0
INSP-600156,AST-TRK-1093,2026-04-16,27,USFD_ULTRASONIC,93.7,0
INSP-600157,AST-TRK-1119,2026-04-16,27,USFD_ULTRASONIC,93.5,0
INSP-600158,AST-TRK-1124,2026-04-16,27,USFD_ULTRASONIC,93.1,0
INSP-600159,AST-TRK-1155,2026-04-16,27,USFD_ULTRASONIC,97.8,0
INSP-600160,AST-OHE-1054,2026-04-17,28,TOWER_WAGON,92.9,0
INSP-600161,AST-TRK-1079,2026-04-17,28,USFD_ULTRASONIC,95.8,0
INSP-600162,AST-TRK-1105,2026-04-17,28,USFD_ULTRASONIC,96.4,0
INSP-600163,AST-TRK-1157,2026-04-17,28,USFD_ULTRASONIC,91.0,0
INSP-600164,AST-TRK-1164,2026-04-17,28,USFD_ULTRASONIC,91.0,0
INSP-600165,AST-OHE-1064,2026-04-18,29,TOWER_WAGON,95.1,0
INSP-600166,AST-TRK-1088,2026-04-18,29,USFD_ULTRASONIC,85.9,0
INSP-600167,AST-TRK-1165,2026-04-18,29,USFD_ULTRASONIC,90.6,0
INSP-600168,AST-TRK-1170,2026-04-18,29,USFD_ULTRASONIC,89.7,0
INSP-600169,AST-PNT-1085,2026-04-19,30,POINT_GEAR_TEST,95.9,0
INSP-600170,AST-SIG-1150,2026-04-19,30,POINT_GEAR_TEST,90.3,0
INSP-600171,AST-OHE-1024,2026-04-20,31,TOWER_WAGON,90.8,0
INSP-600172,AST-OHE-1028,2026-04-20,31,TOWER_WAGON,87.7,0
INSP-600173,AST-TRK-1120,2026-04-20,31,USFD_ULTRASONIC,85.1,0
INSP-600174,AST-OHE-1020,2026-04-21,32,TOWER_WAGON,94.8,0
INSP-600175,AST-TRK-1017,2026-04-23,34,USFD_ULTRASONIC,93.9,0
INSP-600176,AST-TRK-1049,2026-04-24,35,USFD_ULTRASONIC,86.3,0
INSP-600177,AST-TRK-1071,2026-04-24,35,USFD_ULTRASONIC,95.8,0
INSP-600178,AST-TRK-1115,2026-04-24,35,USFD_ULTRASONIC,93.5,0
INSP-600179,AST-TRK-1168,2026-04-24,35,USFD_ULTRASONIC,94.5,0
INSP-600180,AST-TRK-1077,2026-04-25,36,USFD_ULTRASONIC,95.4,0
INSP-600181,AST-TRK-1145,2026-04-25,36,USFD_ULTRASONIC,85.7,0
INSP-600182,AST-OHE-1174,2026-04-25,36,TOWER_WAGON,96.7,0
INSP-600183,AST-TRK-1032,2026-04-27,38,USFD_ULTRASONIC,96.2,0
INSP-600184,AST-TRK-1045,2026-04-27,38,USFD_ULTRASONIC,87.6,0
INSP-600185,AST-TRK-1148,2026-04-27,38,USFD_ULTRASONIC,91.0,0
INSP-600186,AST-TRK-1169,2026-04-27,38,USFD_ULTRASONIC,96.1,0
INSP-600187,AST-SIG-1018,2026-04-28,39,POINT_GEAR_TEST,95.0,0
INSP-600188,AST-TRK-1025,2026-04-28,39,USFD_ULTRASONIC,95.2,0
INSP-600189,AST-TRK-1069,2026-04-28,39,USFD_ULTRASONIC,98.0,0
INSP-600190,AST-PNT-1073,2026-04-28,39,POINT_GEAR_TEST,86.7,0
INSP-600191,AST-OHE-1086,2026-04-28,39,TOWER_WAGON,95.4,0
INSP-600192,AST-TRK-1090,2026-04-28,39,USFD_ULTRASONIC,87.2,0
INSP-600193,AST-TRK-1107,2026-04-28,39,USFD_ULTRASONIC,93.2,0
INSP-600194,AST-TRK-1121,2026-04-28,39,USFD_ULTRASONIC,86.0,0
INSP-600195,AST-TRK-1137,2026-04-28,39,USFD_ULTRASONIC,93.2,0
INSP-600196,AST-OHE-1152,2026-04-28,39,TOWER_WAGON,91.6,0
INSP-600197,AST-SIG-1022,2026-04-29,40,POINT_GEAR_TEST,97.3,0
INSP-600198,AST-PNT-1023,2026-04-29,40,POINT_GEAR_TEST,93.8,0
INSP-600199,AST-TRK-1035,2026-04-29,40,USFD_ULTRASONIC,94.6,0
INSP-600200,AST-TRK-1042,2026-04-29,40,USFD_ULTRASONIC,96.8,0
INSP-600201,AST-TRK-1109,2026-04-29,40,USFD_ULTRASONIC,95.9,0
INSP-600202,AST-TRK-1136,2026-04-29,40,USFD_ULTRASONIC,95.9,0
INSP-600203,AST-PNT-1151,2026-04-29,40,POINT_GEAR_TEST,87.8,0
INSP-600204,AST-TRK-1006,2026-04-30,41,USFD_ULTRASONIC,93.2,0
INSP-600205,AST-TRK-1047,2026-04-30,41,USFD_ULTRASONIC,95.3,0
INSP-600206,AST-TRK-1048,2026-04-30,41,USFD_ULTRASONIC,94.9,0
INSP-600207,AST-TRK-1108,2026-04-30,41,USFD_ULTRASONIC,90.5,0
INSP-600208,AST-TRK-1111,2026-04-30,41,USFD_ULTRASONIC,94.9,0
INSP-600209,AST-TRK-1140,2026-04-30,41,USFD_ULTRASONIC,95.9,0
INSP-600210,AST-TRK-1038,2026-05-01,42,USFD_ULTRASONIC,93.5,0
INSP-600211,AST-TRK-1081,2026-05-01,42,USFD_ULTRASONIC,94.8,0
INSP-600212,AST-TRK-1103,2026-05-01,42,USFD_ULTRASONIC,95.4,0
INSP-600213,AST-TRK-1106,2026-05-01,42,USFD_ULTRASONIC,96.8,0
INSP-600214,AST-TRK-1117,2026-05-01,42,USFD_ULTRASONIC,94.5,0
INSP-600215,AST-TRK-1122,2026-05-01,42,USFD_ULTRASONIC,95.9,0
INSP-600216,AST-TRK-1126,2026-05-01,42,USFD_ULTRASONIC,91.3,0
INSP-600217,AST-OHE-1130,2026-05-01,42,TOWER_WAGON,92.8,0
INSP-600218,AST-TRK-1141,2026-05-01,42,USFD_ULTRASONIC,95.4,0
INSP-600219,AST-TRK-1002,2026-05-02,43,USFD_ULTRASONIC,90.0,0
INSP-600220,AST-SIG-1008,2026-05-02,43,POINT_GEAR_TEST,95.6,0
INSP-600221,AST-TRK-1016,2026-05-02,43,USFD_ULTRASONIC,95.3,0
INSP-600222,AST-TRK-1029,2026-05-02,43,USFD_ULTRASONIC,94.6,0
INSP-600223,AST-TRK-1051,2026-05-02,43,USFD_ULTRASONIC,93.8,0
INSP-600224,AST-TRK-1089,2026-05-02,43,USFD_ULTRASONIC,89.0,0
INSP-600225,AST-PNT-1027,2026-05-03,44,POINT_GEAR_TEST,98.0,0
INSP-600226,AST-TRK-1043,2026-05-03,44,USFD_ULTRASONIC,85.6,0
INSP-600227,AST-TRK-1101,2026-05-03,44,USFD_ULTRASONIC,94.7,0
INSP-600228,AST-TRK-1102,2026-05-03,44,USFD_ULTRASONIC,91.2,0
INSP-600229,AST-TRK-1104,2026-05-03,44,USFD_ULTRASONIC,92.0,0
INSP-600230,AST-TRK-1001,2026-05-04,45,USFD_ULTRASONIC,89.6,0
INSP-600231,AST-SIG-1026,2026-05-04,45,POINT_GEAR_TEST,91.2,0
INSP-600232,AST-TRK-1046,2026-05-04,45,USFD_ULTRASONIC,96.3,0
INSP-600233,AST-TRK-1061,2026-05-04,45,USFD_ULTRASONIC,96.2,0
INSP-600234,AST-OHE-1098,2026-05-04,45,TOWER_WAGON,95.1,0
INSP-600235,AST-PNT-1113,2026-05-04,45,POINT_GEAR_TEST,95.8,0
INSP-600236,AST-TRK-1134,2026-05-04,45,USFD_ULTRASONIC,92.1,0
INSP-600237,AST-TRK-1075,2026-05-05,46,USFD_ULTRASONIC,91.9,0
INSP-600238,AST-TRK-1091,2026-05-05,46,USFD_ULTRASONIC,93.8,0
INSP-600239,AST-PNT-1097,2026-05-05,46,POINT_GEAR_TEST,96.9,0
INSP-600240,AST-SIG-1112,2026-05-05,46,POINT_GEAR_TEST,91.2,0
INSP-600241,AST-TRK-1127,2026-05-05,46,USFD_ULTRASONIC,97.5,0
INSP-600242,AST-SIG-1128,2026-05-05,46,POINT_GEAR_TEST,92.8,0
INSP-600243,AST-TRK-1139,2026-05-05,46,USFD_ULTRASONIC,87.0,0
INSP-600244,AST-TRK-1142,2026-05-05,46,USFD_ULTRASONIC,97.1,0
INSP-600245,AST-TRK-1031,2026-05-06,47,USFD_ULTRASONIC,92.5,0
INSP-600246,AST-TRK-1044,2026-05-06,47,USFD_ULTRASONIC,95.8,0
INSP-600247,AST-TRK-1070,2026-05-06,47,USFD_ULTRASONIC,89.3,0
INSP-600248,AST-SIG-1072,2026-05-06,47,POINT_GEAR_TEST,96.9,0
INSP-600249,AST-TRK-1078,2026-05-06,47,USFD_ULTRASONIC,88.6,0
INSP-600250,AST-TRK-1083,2026-05-06,47,USFD_ULTRASONIC,91.2,0
INSP-600251,AST-SIG-1096,2026-05-06,47,POINT_GEAR_TEST,92.0,0
INSP-600252,AST-TRK-1125,2026-05-06,47,USFD_ULTRASONIC,94.3,0
INSP-600253,AST-TRK-1132,2026-05-06,47,USFD_ULTRASONIC,92.1,0
INSP-600254,AST-TRK-1138,2026-05-06,47,USFD_ULTRASONIC,93.5,0
INSP-600255,AST-TRK-1143,2026-05-06,47,USFD_ULTRASONIC,96.0,0
INSP-600256,AST-TRK-1159,2026-05-06,47,USFD_ULTRASONIC,93.6,0
INSP-600257,AST-SIG-1062,2026-05-07,48,POINT_GEAR_TEST,89.3,0
INSP-600258,AST-PNT-1063,2026-05-07,48,POINT_GEAR_TEST,86.9,0
INSP-600259,AST-TRK-1160,2026-05-07,48,USFD_ULTRASONIC,96.0,0
INSP-600260,AST-TRK-1171,2026-05-07,48,USFD_ULTRASONIC,94.7,0
INSP-600261,AST-PNT-1173,2026-05-07,48,POINT_GEAR_TEST,94.6,0
INSP-600262,AST-PNT-1004,2026-05-08,49,POINT_GEAR_TEST,93.0,0
INSP-600263,AST-OHE-1005,2026-05-08,49,TOWER_WAGON,89.3,0
INSP-600264,AST-SIG-1013,2026-05-08,49,POINT_GEAR_TEST,91.1,0
INSP-600265,AST-TRK-1095,2026-05-08,49,USFD_ULTRASONIC,94.5,0
INSP-600266,AST-TRK-1110,2026-05-08,49,USFD_ULTRASONIC,91.9,0
INSP-600267,AST-TRK-1154,2026-05-08,49,USFD_ULTRASONIC,92.5,0
INSP-600268,AST-TRK-1162,2026-05-08,49,USFD_ULTRASONIC,93.2,0
INSP-600269,AST-SIG-1003,2026-05-09,50,POINT_GEAR_TEST,90.9,0
INSP-600270,AST-TRK-1034,2026-05-09,50,USFD_ULTRASONIC,95.1,0
INSP-600271,AST-SIG-1052,2026-05-09,50,POINT_GEAR_TEST,94.1,0
INSP-600272,AST-TRK-1066,2026-05-09,50,USFD_ULTRASONIC,92.6,0
INSP-600273,AST-TRK-1067,2026-05-09,50,USFD_ULTRASONIC,94.9,0
INSP-600274,AST-TRK-1147,2026-05-09,50,USFD_ULTRASONIC,86.6,0
INSP-600275,AST-TRK-1161,2026-05-09,50,USFD_ULTRASONIC,93.3,0
INSP-600276,AST-SIG-1172,2026-05-09,50,POINT_GEAR_TEST,95.4,0
INSP-600277,AST-TRK-1012,2026-05-10,51,USFD_ULTRASONIC,85.6,0
INSP-600278,AST-TRK-1036,2026-05-10,51,USFD_ULTRASONIC,91.5,0
INSP-600279,AST-TRK-1050,2026-05-10,51,USFD_ULTRASONIC,92.6,0
INSP-600280,AST-PNT-1053,2026-05-10,51,POINT_GEAR_TEST,96.0,0
INSP-600281,AST-TRK-1057,2026-05-10,51,USFD_ULTRASONIC,94.9,0
INSP-600282,AST-TRK-1060,2026-05-10,51,USFD_ULTRASONIC,93.3,0
INSP-600283,AST-TRK-1082,2026-05-10,51,USFD_ULTRASONIC,94.0,0
INSP-600284,AST-SIG-1084,2026-05-10,51,POINT_GEAR_TEST,100.6,0
INSP-600285,AST-TRK-1087,2026-05-10,51,USFD_ULTRASONIC,95.4,0
INSP-600286,AST-TRK-1156,2026-05-10,51,USFD_ULTRASONIC,92.4,0
INSP-600287,AST-TRK-1007,2026-05-11,52,USFD_ULTRASONIC,92.9,0
INSP-600288,AST-PNT-1009,2026-05-11,52,POINT_GEAR_TEST,93.6,0
INSP-600289,AST-TRK-1011,2026-05-11,52,USFD_ULTRASONIC,97.1,0
INSP-600290,AST-TRK-1033,2026-05-11,52,USFD_ULTRASONIC,95.3,0
INSP-600291,AST-OHE-1041,2026-05-11,52,TOWER_WAGON,94.2,0
INSP-600292,AST-TRK-1056,2026-05-11,52,USFD_ULTRASONIC,94.8,0
INSP-600293,AST-TRK-1080,2026-05-11,52,USFD_ULTRASONIC,93.1,0
INSP-600294,AST-PNT-1129,2026-05-11,52,POINT_GEAR_TEST,94.9,0
INSP-600295,AST-TRK-1133,2026-05-11,52,USFD_ULTRASONIC,93.3,0
INSP-600296,AST-TRK-1021,2026-05-12,53,USFD_ULTRASONIC,94.9,0
INSP-600297,AST-TRK-1030,2026-05-12,53,USFD_ULTRASONIC,94.6,0
INSP-600298,AST-PNT-1040,2026-05-12,53,POINT_GEAR_TEST,91.8,0
INSP-600299,AST-TRK-1055,2026-05-12,53,USFD_ULTRASONIC,96.6,0
INSP-600300,AST-TRK-1058,2026-05-12,53,USFD_ULTRASONIC,93.5,0
INSP-600301,AST-TRK-1068,2026-05-12,53,USFD_ULTRASONIC,95.0,0
INSP-600302,AST-OHE-1074,2026-05-12,53,TOWER_WAGON,92.2,0
INSP-600303,AST-TRK-1076,2026-05-12,53,USFD_ULTRASONIC,95.3,0
INSP-600304,AST-TRK-1099,2026-05-12,53,USFD_ULTRASONIC,94.9,0
INSP-600305,AST-TRK-1131,2026-05-12,53,USFD_ULTRASONIC,91.7,0
INSP-600306,AST-TRK-1149,2026-05-12,53,USFD_ULTRASONIC,94.2,0
INSP-600307,AST-TRK-1155,2026-05-12,53,USFD_ULTRASONIC,94.3,0
INSP-600308,AST-TRK-1163,2026-05-12,53,USFD_ULTRASONIC,94.7,0
INSP-600309,AST-TRK-1164,2026-05-12,53,USFD_ULTRASONIC,88.4,0
INSP-600310,AST-TRK-1037,2026-05-13,54,USFD_ULTRASONIC,93.1,0
INSP-600311,AST-TRK-1059,2026-05-13,54,USFD_ULTRASONIC,96.8,0
